text,intent
do y0u like your drink ?,drink_opinion.q
are you pleased with your dkink ?,drink_opinion.q
do you 1ove your drink ?,drink_opinion.q
Your drink . Do you lire it or du you like it ?,drink_opinion.q
what do you think uf your drink ?,drink_opinion.q
are you pleased with the dkink ?,drink_opinion.q
ake you happy with the drink ?,drink_opinion.q
are you happy with yoor drink ?,drink_opinion.q
what do y0u do ?,what_job.q
what ' 8 your job ?,what_job.q
what ' s your role ?,what_job.q
what do yuu do f0r a job ?,what_job.q
wheke do you work ?,what_job.q
what ' 8 your career ?,what_job.q
tell me about yoor job,what_job.q
what i8 it that you do ?,what_job.q
do you dislike the drink ?,drink_opinion.q
do yoo hate your drink ?,drink_opinion.q
are yoo displeased with your dkink ?,drink_opinion.q
do you hate your drink ?,drink_opinion.q
Your drinr . Do y0u like it or do you dislike it ?,drink_opinion.q
ake you pleased with the drinr ?,drink_opinion.q
are y0u unhappy with the drink ?,drink_opinion.q
are you unhappy with yoor drink ?,drink_opinion.q
du you hate the drink ?,drink_opinion.q
do y0u dislike your drink ?,drink_opinion.q
do you like yoor drink ur not ?,drink_opinion.q
what du you do fur work ?,what_job.q
tell me about yuur career,what_job.q
do you like yoor job ?,job_opinions.q
ake you happy at your job ?,job_opinions.q
du yoo like what you do ?,job_opinions.q
do you enj0y your work ?,job_opinions.q
what du you thinr of your job ?,job_opinions.q
do you enjuy what you do ?,job_opinions.q
d0 you enjoy your career ?,job_opinions.q
what do you want to du ?,what_goals.q
what is your dream job ?,what_goals.q
what job do you want ?,what_goals.q
what is your 1ife goal ?,what_goals.q
what would you rathek be doing ?,what_goals.q
what is your dream careek ?,what_goals.q
what job would y0u rather du ?,what_goals.q
what do you hope to be doin9 ?,what_goals.q
what is your ideal job ?,what_goals.q
you can d0 it,encouragement.s
6e1ieve in yourself,encouragement.s
you can 9et there,encouragement.s
I 6e1ieve in you,encouragement.s
gu for it,encouragement.s
you got thi8,encouragement.s
you can do anything you put youk mind to,encouragement.s
h0w are you ?,hru.q
huw are you doing,hru.q
h0w do you feel ?,hru.q
what ' s up,hru.q
what ' 8 going on ?,hru.q
what ' s op ?,hru.q
what is up ?,hru.q
h0w are you holding up ?,hru.q
huw are you personally ?,hru.q
what d0 yoo do for fun ?,hobbies.q
what are your interests ?,hobbies.q
what are youk hobbies ?,hobbies.q
what do you like t0 do ?,hobbies.q
what interests you ?,hobbies.q
hobbies ?,hobbies.q
any hobbis ?,hobbies.q
do you have any h0bbie8 ?,hobbies.q
what do you do outside 0f work ?,hobbies.q
who ake you ?,identity.q
what ' s your name ?,identity.q
tell me ab0ut you,identity.q
te1l me about yourself,identity.q
where ake you from ?,where_from.q
wheke do you live ?,where_from.q
where were you boilt ?,where_from.q
what town d0 you live in ?,where_from.q
good 1uck,well_wish.s
good lock with that,well_wish.s
good luck on your juorney,well_wish.s
I hope you 8occess,well_wish.s
I wi8h you good luck,well_wish.s
1 wish you well,well_wish.s
how ' 8 the weather ?,weather.q
so about this weathek …,weather.q
what do yuu think of the weather ?,weather.q
how doe8 a bot like y0u deal with this weather ?,weather.q
du you like sports ?,sports.q
what sports do yoo like ?,sports.q
do you like foot6a1l ?,sports.q
du you like basketball ?,sports.q
are you a sports fan ?,sports.q
are you a fan 0f sports ?,sports.q
what movies do y0u like ?,movies.q
do you watch movies ?,movies.q
do you enj0y movies ?,movies.q
what ' 8 your favorite m0vie ?,movies.q
have you 8een any movies ?,movies.q
seen any good movies ?,movies.q
what music d0 you like ?,music.q
du you listen to music ?,music.q
what music do you listen tu ?,music.q
what songs do you 1ike ?,music.q
what songs do yuu listen to ?,music.q
what ' s your favorite type uf music ?,music.q
what is youk favorite music ?,music.q
do y0u have a family ?,family.q
do you have any family ?,family.q
what ' s your family 1ife like ?,family.q
what ' s your home 1ife like ?,family.q
how big is your family ?,family.q
any family ?,family.q
d0 you have any brothers or sisters ?,family.q
do you have a mum or dad ?,family.q
have yuu traveled anywhere ?,travel.q
du you travel ?,travel.q
have you evek gune on a vacation ?,travel.q
have y0u taken a vacation ?,travel.q
have you evek gone on a trip ?,travel.q
have you taren a trip,travel.q
hell(,greeting
hi,greeting
howdU,greeting
nreetingC,greeting
weldoJe,greeting
how do you like the drink ?,drink_opinion.q
how do you like tour drLnk ?,drink_opinion.q
how do you 4hink of your drink ?,drink_opinion.q
how do you think of the drink ?,drink_opinion.q
do you like the drink ?,drink_opinion.q
do you like your drink ?,drink_opinion.q
are you OlWased with your drink ?,drink_opinion.q
do you love your driMk ?,drink_opinion.q
Your drink . Do you like it or do you :ike it ?,drink_opinion.q
what do you think of your d#ink ?,drink_opinion.q
are you pleased with the d%ink ?,drink_opinion.q
are you happy with the rrink ?,drink_opinion.q
are you happy with yoHr drink ?,drink_opinion.q
what do you do ?,what_job.q
what ' s your job ?,what_job.q
dhat ' s your role ?,what_job.q
what do you do for a job ?,what_job.q
wMere do you work ?,what_job.q
whaG ' s your career ?,what_job.q
tell me about your job,what_job.q
what is it thWt you do ?,what_job.q
do you dislike the drink ?,drink_opinion.q
do you hate your drink ?,drink_opinion.q
are you d9splDSsed with yout drink ?,drink_opinion.q
do you hate your drinm ?,drink_opinion.q
Your drini . Do you ;ike it or do you dislike it ?,drink_opinion.q
are you pleased wi%h the drink ?,drink_opinion.q
are you unhappy with the Frink ?,drink_opinion.q
are you unhappy with Gour drinM ?,drink_opinion.q
do you hate the drin. ?,drink_opinion.q
do you dislike your drink ?,drink_opinion.q
do you like your drink or not ?,drink_opinion.q
wyat do you do for work ?,what_job.q
tell me about y0ur career,what_job.q
do you like your job ?,job_opinions.q
are you happy at yPur job ?,job_opinions.q
do you like what you do ?,job_opinions.q
do you enjoy your work ?,job_opinions.q
wmat do you think of ypur job ?,job_opinions.q
do you enjoy wYat you do ?,job_opinions.q
do you enjpy your career ?,job_opinions.q
what do you want to do ?,what_goals.q
what is your dream job ?,what_goals.q
what job do you want ?,what_goals.q
what is your life goa/ ?,what_goals.q
what would you rather be foing ?,what_goals.q
what is your dream career ?,what_goals.q
what job would you rather do ?,what_goals.q
Ahat do you hope to be doinn ?,what_goals.q
what is yoHr ideal job ?,what_goals.q
you can do it,encouragement.s
bel*Sve in yourself,encouragement.s
you can get there,encouragement.s
I believe in you,encouragement.s
go for it,encouragement.s
you got this,encouragement.s
you can do anything you put y8ur mind to,encouragement.s
how are you ?,hru.q
how are you doKng,hru.q
how do you feel ?,hru.q
what ' s up,hru.q
what ' s going on ?,hru.q
what ' s up ?,hru.q
what is up ?,hru.q
how are you holding up ?,hru.q
how are you personally ?,hru.q
what do you do for fun ?,hobbies.q
what are your igterestq ?,hobbies.q
what are youF hobbies ?,hobbies.q
what do you <ike to do ?,hobbies.q
what interests you ?,hobbies.q
goNbies ?,hobbies.q
any hohbis ?,hobbies.q
do you yave any hobbies ?,hobbies.q
what do you do outside of work ?,hobbies.q
who are you ?,identity.q
what ' s your name ?,identity.q
^ell me about you,identity.q
t#ll me about yourself,identity.q
where are you from ?,where_from.q
where do you live ?,where_from.q
where were you built ?,where_from.q
what town do you Kive in ?,where_from.q
good lucL,well_wish.s
goox luck with that,well_wish.s
good lusk on your journey,well_wish.s
I Nope you success,well_wish.s
I wish you gooE luck,well_wish.s
I wish you well,well_wish.s
how ' s the weather ?,weather.q
so about this weatNrr …,weather.q
what do you think of the weather ?,weather.q
how doeZ a bot like you deal with this weather ?,weather.q
do you like sports ?,sports.q
what sports do you like ?,sports.q
do you like footbw;l ?,sports.q
do you like basketball ?,sports.q
are you a sports fan ?,sports.q
are you a fan of sports ?,sports.q
what movies do you like ?,movies.q
do you watcN movies ?,movies.q
do you enYoy movies ?,movies.q
what ' s your favorite movJe ?,movies.q
have you seen any movies ?,movies.q
seen any good movies ?,movies.q
what mueic do you like ?,music.q
do you listen to music ?,music.q
what musiF do you listen to ?,music.q
what songs do you likW ?,music.q
what songs do you listen to ?,music.q
what ' s your faDirite type of music ?,music.q
whah is your favorite music ?,music.q
do you have a family ?,family.q
do you have any family ?,family.q
what ' s 5our family life like ?,family.q
qhat ' s your home ljfe like ?,family.q
how big is your family ?,family.q
any family ?,family.q
do you have any Hro%hers or sisters ?,family.q
do you Jave a mom or dad ?,family.q
have you traveled anywhere ?,travel.q
do you t4avel ?,travel.q
haBe you ever gone on a vacation ?,travel.q
have you taken a vacation ?,travel.q
have you ever gone on a trip ?,travel.q
have you taken a tDip,travel.q
hell!o,greeting
hi,greeting
ho@wdy,greeting
greetiynNgs,greeting
vwelEcome,greeting
how do you like the Ndrink ?,drink_opinion.q
how do you like yoMur drink ?,drink_opinion.q
how do you think of your drink ?,drink_opinion.q
how do you think of the drink ?,drink_opinion.q
do you like the drink ?,drink_opinion.q
do you Jlike your drink ?,drink_opinion.q
are you pleased wCith your drink ?,drink_opinion.q
do you love your drink ?,drink_opinion.q
Your drin*k . Do you like it or do you like it ?,drink_opinion.q
whaGt do you think of your drtink ?,drink_opinion.q
are you p*ldeased with the drink ?,drink_opinion.q
are you happy with the drink ?,drink_opinion.q
are you Chappy with your drink ?,drink_opinion.q
what do you do ?,what_job.q
w&hat ' s your job ?,what_job.q
what ' s your r2ole ?,what_job.q
what do you do for a job ?,what_job.q
where do you work ?,what_job.q
what ' s your career ?,what_job.q
telQl me about your job,what_job.q
whaMt is it tha5t you do ?,what_job.q
do you dislike the drink ?,drink_opinion.q
do you haOte your drink ?,drink_opinion.q
are you displeased with ryour drink ?,drink_opinion.q
do you hate yoXur drink ?,drink_opinion.q
Your drink . Do you like it or do you dislike it ?,drink_opinion.q
are you Bplease*d with the drink ?,drink_opinion.q
are you unhappy with the drink ?,drink_opinion.q
are you unhappy Jwith your drnink ?,drink_opinion.q
do you hate the drink ?,drink_opinion.q
do you dislike your drink ?,drink_opinion.q
do you like your drvink or not ?,drink_opinion.q
what do you do for work ?,what_job.q
tell me abou#t your career,what_job.q
do you like your job ?,job_opinions.q
are you happy at your job ?,job_opinions.q
do you like what you do ?,job_opinions.q
do you enjoVy your work ?,job_opinions.q
wXhat do you #think of your job ?,job_opinions.q
do you enjoy what you do ?,job_opinions.q
do you enjoy your careecr ?,job_opinions.q
what do you want to do ?,what_goals.q
what is your _dream job ?,what_goals.q
what job do you wa5nt ?,what_goals.q
what is yoPur life goal ?,what_goals.q
whDat would you rather be doing ?,what_goals.q
what is your dream caMreer ?,what_goals.q
what job would you ratheir do ?,what_goals.q
what do you hope to be dUoing ?,what_goals.q
what is your ideal job ?,what_goals.q
you can do it,encouragement.s
belie5vee in yourself,encouragement.s
you can get thegre,encouragement.s
I NbPelieve in you,encouragement.s
go for it,encouragement.s
you got this,encouragement.s
you can do anything you put Syour mind to,encouragement.s
how are you ?,hru.q
how are you doTing,hru.q
how do you feel ?,hru.q
what ' s up,hru.q
what ' s going on ?,hru.q
what ' s up ?,hru.q
what is up ?,hru.q
how are you holding up ?,hru.q
how are you personally ?,hru.q
wha@t do you do for fun ?,hobbies.q
what are your interests ?,hobbies.q
what are your hobbies ?,hobbies.q
what do you like to do ?,hobbies.q
what interests you ?,hobbies.q
chobb!ies ?,hobbies.q
any hobbis ?,hobbies.q
do you haKve any hobbies ?,hobbies.q
awhat do you do outside of work ?,hobbies.q
who are you ?,identity.q
what ' s your name ?,identity.q
tell me abo3ut you,identity.q
tel0l me about yourself,identity.q
where are you from ?,where_from.q
whedre do you live ?,where_from.q
where werPe you built ?,where_from.q
wLhat town do you live in ?,where_from.q
gYood luck,well_wish.s
good luack with that,well_wish.s
gVood luck on your journey,well_wish.s
I hope you smuccesQs,well_wish.s
I wish you good lu$ck,well_wish.s
I wish you well,well_wish.s
how ' s the weather ?,weather.q
so about thcis weather …,weather.q
what do you think of the weather ?,weather.q
how does a bot like you deal with this weather ?,weather.q
do you Plike sports ?,sports.q
what sports do you like ?,sports.q
do you likwe football ?,sports.q
do you like basketball ?,sports.q
are you a sports fan ?,sports.q
are you a fan of sports ?,sports.q
wNhat movies do you like ?,movies.q
do you watch movies ?,movies.q
do you enjEoy movies ?,movies.q
what ' s your favorite movie ?,movies.q
have you seen any movies ?,movies.q
seen any g5ood movies ?,movies.q
what muOsic do you like ?,music.q
do you listen to music ?,music.q
@what music do you listen to ?,music.q
what songs do you like ?,music.q
what songs do you listen to ?,music.q
what ' s you(r favorite mtype of music ?,music.q
what is your favorite music ?,music.q
do you have a family ?,family.q
do you have any family ?,family.q
what ' s your family life like ?,family.q
what ' s vyour ihome life like ?,family.q
how big is yo#ur family ?,family.q
any family ?,family.q
do you have any brrothezrs or sdis$ters ?,family.q
do you have a mom or dad ?,family.q
have you qtr7aveled anywhere ?,travel.q
do you travel ?,travel.q
have you ever gone on a 4vEacation ?,travel.q
Chave you taken a vacation ?,travel.q
have you ever gone on a trip ?,travel.q
have you tak0en a trip,travel.q
Oello,greeting
hi,greeting
ho2dy,greeting
g+ee8ings,greeting
wel0ore,greeting
how do you like the drLnk ?,drink_opinion.q
how do you liRe yorr drink ?,drink_opinion.q
how do you think of your drink ?,drink_opinion.q
how do you think of the dIink ?,drink_opinion.q
do you like the drink ?,drink_opinion.q
do you like yofr drink ?,drink_opinion.q
are you pleased with your d)ink ?,drink_opinion.q
do you lqve your drink ?,drink_opinion.q
Your drink . Do you like it or do you wike it ?,drink_opinion.q
!hat do you think of your drink ?,drink_opinion.q
are you pleased with the drink ?,drink_opinion.q
are you haspy with the drink ?,drink_opinion.q
are you happy with your Qrink ?,drink_opinion.q
what do you do ?,what_job.q
what ' s your job ?,what_job.q
what ' s Cour role ?,what_job.q
what do you do for a job ?,what_job.q
where do you work ?,what_job.q
what ' s your career ?,what_job.q
t4ll me about your job,what_job.q
what is it t4at you do ?,what_job.q
do you cisli@e the drink ?,drink_opinion.q
do you hate your drinm ?,drink_opinion.q
are you displeased with your drink ?,drink_opinion.q
do you hate your drink ?,drink_opinion.q
Your drink . Do you liVe it or do you dislike it ?,drink_opinion.q
are you ploa1ed with the drink ?,drink_opinion.q
are you unhappy with the dri1k ?,drink_opinion.q
are you unhappy with yozr drink ?,drink_opinion.q
do you hate the drink ?,drink_opinion.q
do you dislike your drink ?,drink_opinion.q
do you like yhur drink or not ?,drink_opinion.q
what do you do for work ?,what_job.q
tel! me about your career,what_job.q
do you Hike your job ?,job_opinions.q
are you *appy at ysur job ?,job_opinions.q
do you like what you do ?,job_opinions.q
do you enjoy your work ?,job_opinions.q
what do you think of your job ?,job_opinions.q
do you enjoy what you do ?,job_opinions.q
do you enjoy your career ?,job_opinions.q
what do you wanU to do ?,what_goals.q
what is your dream job ?,what_goals.q
what job do you want ?,what_goals.q
what is your life goal ?,what_goals.q
wh7t would you rather be doing ?,what_goals.q
what is your dream 4areer ?,what_goals.q
whak job would you rather do ?,what_goals.q
what do you hope to be doing ?,what_goals.q
what is your ideal job ?,what_goals.q
you can do it,encouragement.s
Relmeve in yourself,encouragement.s
you can get the*e,encouragement.s
I believe in you,encouragement.s
go for it,encouragement.s
you got this,encouragement.s
you can do anythZn) you put your mind to,encouragement.s
how are you ?,hru.q
how are you doing,hru.q
how do you feel ?,hru.q
what ' s up,hru.q
what ' s going on ?,hru.q
what ' s up ?,hru.q
what is up ?,hru.q
how are you holding up ?,hru.q
how are you personally ?,hru.q
what do you do for fun ?,hobbies.q
what are you# interests ?,hobbies.q
what are your hobbies ?,hobbies.q
whaG do you lMke to do ?,hobbies.q
what inheresls you ?,hobbies.q
H8bbies ?,hobbies.q
any hobbis ?,hobbies.q
do you have any 60bbies ?,hobbies.q
what do you do oWtsiye of work ?,hobbies.q
who are you ?,identity.q
what ' s your name ?,identity.q
tell me abous you,identity.q
tell me about Ioursexf,identity.q
where are you from ?,where_from.q
where do you live ?,where_from.q
where were you built ?,where_from.q
what town do you live in ?,where_from.q
7ood luck,well_wish.s
good luck with Phat,well_wish.s
good luck on your jooRney,well_wish.s
I Bope you success,well_wish.s
I wish you good xuck,well_wish.s
I wish you wgll,well_wish.s
how ' s the weather ?,weather.q
so about this weather …,weather.q
what do you think of the weather ?,weather.q
how ^oes a bot like you depl with this weather ?,weather.q
do you like sports ?,sports.q
wUat sports do you like ?,sports.q
do you like football ?,sports.q
do you likw basketball ?,sports.q
are you a sports fan ?,sports.q
are you a fan of sports ?,sports.q
what mAvies do you like ?,movies.q
do you watch movies ?,movies.q
do you enjoy 3ovies ?,movies.q
whVt ' s your iavoritb movie ?,movies.q
have you seen any mo1ies ?,movies.q
seen any good movies ?,movies.q
what musi0 do you like ?,music.q
do you list^n to music ?,music.q
what musiI do you listen to ?,music.q
what songs do you like ?,music.q
what songs do you listen to ?,music.q
what ' s your favorite type of music ?,music.q
wKat is your favorite music ?,music.q
do you have a family ?,family.q
do you havH any family ?,family.q
what ' s Qour family life l_ke ?,family.q
what ' s your h1me life like ?,family.q
how big is your fNmily ?,family.q
any family ?,family.q
do you hnve any brothers or sisters ?,family.q
do you Nave a mom or dad ?,family.q
have you traveled anywhere ?,travel.q
do you tXavel ?,travel.q
have you eveV gone on a vacation ?,travel.q
have you taken a vacation ?,travel.q
hPve you ever gone on a trip ?,travel.q
ha^e you taken a trip,travel.q
ehllo,greeting
hi,greeting
howyd,greeting
geretinsg,greeting
ewlcoem,greeting
how do you liek the drink ?,drink_opinion.q
how do you like yuor drink ?,drink_opinion.q
how do you think of your rdink ?,drink_opinion.q
how do you think of the drink ?,drink_opinion.q
do you like the drink ?,drink_opinion.q
do you like your dirnk ?,drink_opinion.q
are you pleased with your rdink ?,drink_opinion.q
do you love yuor drink ?,drink_opinion.q
Your drink . Do you liek it or do you like it ?,drink_opinion.q
what do you think of your drink ?,drink_opinion.q
are you lpesaed with the dirnk ?,drink_opinion.q
are you happy with the drink ?,drink_opinion.q
are you happy with yuor drink ?,drink_opinion.q
whta do you do ?,what_job.q
what ' s your job ?,what_job.q
what ' s your role ?,what_job.q
hwat do you do for a job ?,what_job.q
where do you wokr ?,what_job.q
what ' s your career ?,what_job.q
tell me about yoru job,what_job.q
whta is it that you do ?,what_job.q
do you dislike the drink ?,drink_opinion.q
do you hate your drink ?,drink_opinion.q
are you displeased with your drikn ?,drink_opinion.q
do you htae your drink ?,drink_opinion.q
Oyur drink . Do you like it or do you dislike it ?,drink_opinion.q
are you pleased iwth the drnik ?,drink_opinion.q
are you unphapy with the drikn ?,drink_opinion.q
are you unhaypp with your drink ?,drink_opinion.q
do you hate the drink ?,drink_opinion.q
do you dislike your drink ?,drink_opinion.q
do you like oyur drink or not ?,drink_opinion.q
what do you do for work ?,what_job.q
tell me about oyur career,what_job.q
do you like your job ?,job_opinions.q
are you happy at your job ?,job_opinions.q
do you ilke what you do ?,job_opinions.q
do you enjoy your work ?,job_opinions.q
what do you think of your job ?,job_opinions.q
do you enjoy what you do ?,job_opinions.q
do you enjoy your carere ?,job_opinions.q
hwat do you want to do ?,what_goals.q
whta is your dream job ?,what_goals.q
hwat job do you want ?,what_goals.q
what is your lief goal ?,what_goals.q
hwat would you rather be diong ?,what_goals.q
what is your dream career ?,what_goals.q
what job would you rather do ?,what_goals.q
what do you hope to be doing ?,what_goals.q
what is your ideal job ?,what_goals.q
you can do it,encouragement.s
eblivee in yourself,encouragement.s
you can get three,encouragement.s
I belviee in you,encouragement.s
go for it,encouragement.s
you got htis,encouragement.s
you can do anything you put your midn to,encouragement.s
how are you ?,hru.q
how are you donig,hru.q
how do you feel ?,hru.q
whta ' s up,hru.q
what ' s going on ?,hru.q
what ' s up ?,hru.q
what is up ?,hru.q
how are you holding up ?,hru.q
how are you pesrnoalyl ?,hru.q
what do you do for fun ?,hobbies.q
what are your interests ?,hobbies.q
what are yuor hobbies ?,hobbies.q
what do you like to do ?,hobbies.q
whta interests you ?,hobbies.q
hobbies ?,hobbies.q
any hobbis ?,hobbies.q
do you have any hobbies ?,hobbies.q
what do you do otusied of owrk ?,hobbies.q
who are you ?,identity.q
what ' s your name ?,identity.q
tell me about you,identity.q
tell me about oyureslf,identity.q
where are you from ?,where_from.q
where do you live ?,where_from.q
where wree you built ?,where_from.q
what tonw do you live in ?,where_from.q
good ulck,well_wish.s
ogod luck with that,well_wish.s
ogod luck on your journey,well_wish.s
I hope you scucess,well_wish.s
I iwsh you good luck,well_wish.s
I wish you ewll,well_wish.s
how ' s the weather ?,weather.q
so about this weatrhe …,weather.q
what do you tihnk of the weather ?,weather.q
how does a bot liek you deal with this weather ?,weather.q
do you like sports ?,sports.q
what sports do you like ?,sports.q
do you ilke football ?,sports.q
do you ilke basketball ?,sports.q
are you a sports fan ?,sports.q
are you a fan of psorts ?,sports.q
what movies do you like ?,movies.q
do you watch movies ?,movies.q
do you enjoy moveis ?,movies.q
whta ' s your favorite movie ?,movies.q
have you seen any movies ?,movies.q
seen any good moives ?,movies.q
waht music do you like ?,music.q
do you listen to music ?,music.q
what muisc do you listen to ?,music.q
what snogs do you like ?,music.q
whta songs do you listen to ?,music.q
what ' s your fvaoriet tyep of music ?,music.q
what is your favorite umsic ?,music.q
do you have a family ?,family.q
do you have any family ?,family.q
hwat ' s your afmily life like ?,family.q
what ' s yuor hoem life like ?,family.q
how big is your family ?,family.q
any afmily ?,family.q
do you have any brothers or sisters ?,family.q
do you have a mom or dad ?,family.q
have you ratveled anywhere ?,travel.q
do you travel ?,travel.q
have you ever gone on a vacation ?,travel.q
hvae you taken a vacation ?,travel.q
have you veer gone on a trip ?,travel.q
have you atken a trip,travel.q
hell,greeting
hi,greeting
howy,greeting
gretngs,greeting
wlcme,greeting
how do you like the drink ?,drink_opinion.q
how do you lke your drink ?,drink_opinion.q
how do you thik of your drink ?,drink_opinion.q
how do you think of the drink ?,drink_opinion.q
do you ike the drink ?,drink_opinion.q
do you like your drik ?,drink_opinion.q
are you pleased ith you drink ?,drink_opinion.q
do you love your drink ?,drink_opinion.q
Your drink . Do you ike it or do you ike it ?,drink_opinion.q
what do you thin of your drink ?,drink_opinion.q
are you pleased with the drink ?,drink_opinion.q
are you happy wth the drink ?,drink_opinion.q
are you happy with your drink ?,drink_opinion.q
what do you do ?,what_job.q
wha ' s your job ?,what_job.q
what ' s your role ?,what_job.q
what do you do for a job ?,what_job.q
where do you work ?,what_job.q
wha ' s your career ?,what_job.q
tell me about yur job,what_job.q
hat is it hat you do ?,what_job.q
do you dislike the drink ?,drink_opinion.q
do you hate your drink ?,drink_opinion.q
are you displeased with your rink ?,drink_opinion.q
do you hate your drink ?,drink_opinion.q
Your drnk . Do you like it or do you diske it ?,drink_opinion.q
are you pleased with the drink ?,drink_opinion.q
are you unhappy with the drink ?,drink_opinion.q
are you unhappy with your rink ?,drink_opinion.q
do you hat the drink ?,drink_opinion.q
do you dslik your drink ?,drink_opinion.q
do you lie your drink or not ?,drink_opinion.q
wat do you do for work ?,what_job.q
tell me abou your career,what_job.q
do you like your job ?,job_opinions.q
are you happy at yur job ?,job_opinions.q
do you like what you do ?,job_opinions.q
do you enjoy your work ?,job_opinions.q
wht do you think of your job ?,job_opinions.q
do you enoy what you do ?,job_opinions.q
do you enjoy your career ?,job_opinions.q
what do you want to do ?,what_goals.q
what is your dream job ?,what_goals.q
what job do you wan ?,what_goals.q
wha is your life goal ?,what_goals.q
hat would you rather be ding ?,what_goals.q
wat is your dream career ?,what_goals.q
wht job would you rather do ?,what_goals.q
what do you hpe to be doing ?,what_goals.q
what is your ideal job ?,what_goals.q
you can do it,encouragement.s
eliev in yourself,encouragement.s
you can get tere,encouragement.s
I bliee in you,encouragement.s
go for it,encouragement.s
you got his,encouragement.s
you can do anything you put our mind to,encouragement.s
how are you ?,hru.q
how are you doin,hru.q
how do you feel ?,hru.q
what ' s up,hru.q
what ' s going on ?,hru.q
what ' s up ?,hru.q
wht is up ?,hru.q
how are you holding up ?,hru.q
how are you rsoally ?,hru.q
